Mask Radius,Magnitude,Signal,Noise,SNR
3,5.722213766541653,482627.3253968253,49.404519206390546,9768.890238170698
3,7.747814718041801,74377.746031746,49.266303158022204,1509.7082846500289
3,15.982243294821199,36.39682539682541,47.3530677564941,0.7686265562347622
3,9.13770961057095,20281.380952380947,49.425856426031835,410.3394947284931
3,2.1314538588808856,7102963.603174603,41.54895384523732,170954.09019519278
3,15.534035671839302,-39.38888888888884,47.85005478057898,-0.8231733290486369
3,8.765942009646329,28738.682539682537,47.19956100252353,608.8760558206467
3,19.136940096799353,-4.5714285714285126,51.031414450032386,-0.08958067536820177
3,11.368236884740677,2529.2222222222235,48.963866027580416,51.654871794591564
3,19.56609340559738,-4.634920634920661,48.49364494862315,-0.0955778976777504
3,18.44706938536122,42.841269841269835,45.08904546184269,0.9501480770429024
3,6.6537027551691,204240.35714285707,47.993930785988454,4255.545519986536
3,6.453328996464783,246227.8571428571,50.97705766482865,4830.170049471896
3,18.18251221101302,-10.8253968253969,45.99561756814371,-0.2353571361306062
3,20.091635452927036,18.261904761904752,45.28756468103832,0.40324324989705
3,7.692735925471875,78539.03968253969,52.813983118102286,1487.0879840081593
3,4.158117888136681,2039733.706349206,52.07753263540609,39167.24935164165
3,19.55812132357638,-2.2857142857142563,39.16172873779229,-0.05836602109723698
3,12.586876102852369,727.2222222222222,49.26023398804882,14.762865771174694
3,17.996852384806477,76.01587301587293,44.51939756880299,1.7074775753286726
3,7.8682998941131395,66915.07142857145,50.67081772290124,1320.5840054625453
3,8.302882200697232,44491.11111111111,44.94201869177341,989.9669041625663
3,23.60779353414294,-20.85714285714277,49.48850848081127,-0.4214542627654649
3,17.23924244734567,-31.206349206349174,51.31707883341529,-0.6081084488002667
3,22.015171865418694,98.84126984126983,46.23903169840549,2.1376154778924206
3,6.067643768526248,351249.6507936509,45.679560664860205,7689.427080323384
3,24.62572987403309,40.37301587301591,49.90401992158132,0.8090133006611023
3,20.961755555740666,85.72222222222231,48.61141696048909,1.763417476431443
3,17.51955220850231,-30.0,50.494903090264835,-0.5941193697584074
3,11.573714629128823,2090.8730158730164,46.5194575902634,44.94620367866541
3,13.653508388143834,232.83333333333323,48.13220055387796,4.837371461392162
3,0.41877412095940314,10811506.301587306,50.86434029485329,212555.7166162886
3,4.460642052900981,1542028.706349206,48.54343375727907,31765.95858586084
3,14.899617373966576,0.19841269841260356,48.47843902332844,0.004092802953435132
3,2.8860987436063663,5197686.5,47.2102373213322,110096.59757951264
3,6.320165562989693,277934.619047619,48.221694198599245,5763.684243505748
3,11.371385043821302,2526.0,48.157394065445466,52.4530043417048
3,8.866548918484106,26481.936507936498,49.64032122740129,533.4763324077476
3,7.486924080802993,95291.66666666664,49.98934489643371,1906.2395569313583
3,24.335853512010587,35.833333333333265,46.49756607386725,0.7706496567241282
3,10.440421842011634,6250.277777777777,46.737687642930226,133.73100153197728
3,22.29500316929079,-46.13492063492066,49.47104441310856,-0.9325641126488142
3,14.000923003414526,159.42063492063488,49.024821511277814,3.2518350910051
3,6.606649135345455,213244.82539682547,49.80295150221595,4281.770838166836
3,19.67017699658862,-59.43650793650785,44.50344448382244,-1.3355484867719343
3,4.0895705564549605,2171313.6190476194,46.46752456288442,46727.550896523106
3,10.141445119281094,8096.031746031745,49.10964465649006,164.85624774240384
3,0.5154863573757773,10659118.595238091,48.94029103068145,217798.43091974503
3,9.219272392608632,19188.83333333334,51.45093054521224,372.9540579731838
3,12.640836264082084,741.0714285714286,45.601570118570606,16.251006854468756
3,5.312241002314424,704668.6825396825,46.566468828422025,15132.53420902693
3,16.950247782247757,5.158730158730165,46.189627658163666,0.11168590049931695
3,11.533861150145624,2190.3888888888887,43.15209494404605,50.75973464855174
3,10.372396179204719,6475.7142857142835,49.66203603487529,130.39566644361292
3,13.55420914855476,213.78571428571422,45.4726418460879,4.701413984463861
3,13.374177370353351,287.42857142857156,46.42187692884004,6.191662001714622
3,17.281632965223384,-5.523809523809504,52.49951862429134,-0.10521638423659102
3,22.255864396757865,67.30952380952377,47.52183386484102,1.4163915475350088
3,11.713966459545915,1764.5317460317465,45.962143410182144,38.39098038323522
3,11.1470178392177,3227.5714285714275,41.37698375402077,78.00402870733156
3,14.038668945744556,13.857142857142769,47.101081056964006,0.29420010212470393
3,3.126433315610372,4582682.690476192,45.37750224230689,100990.19258498568
3,0.6902574541684608,10373524.420634922,51.06081136787763,203160.19551465465
3,11.640653968742878,1945.5317460317465,46.90255915650637,41.48028979697711
