Mask Radius, Magnitude, Signal, Noise, SNR
9,25.0,6.430830039525691,2.621012723943782,2.4535668906823767
9,25.0,6.276679841897233,2.7193683166239975,2.308138917235572
9,25.0,6.513833992094861,2.6995237512365997,2.412956725833955
9,25.0,5.972332015810276,2.7011501234331745,2.2110329833202362
9,25.0,6.4189723320158105,2.616245936456039,2.4535049410190144
9,25.0,6.8023715415019765,2.639265988322387,2.5773724859864577
9,25.0,6.403162055335969,2.69446476248179,2.3764133584134197
9,25.0,6.098814229249012,2.672741806409234,2.2818568612291905
9,25.0,6.612648221343873,2.5900722914413032,2.5530747706134944
9,25.0,6.648221343873518,2.680978355341455,2.4797743445514637
9,25.0,6.217391304347826,2.6289274648610568,2.3649915744923096
9,25.0,6.430830039525691,2.6252541954039375,2.4496028044766938
9,25.0,6.363636363636363,2.6756883031971976,2.3783175177887546
9,25.0,6.205533596837944,2.6994010037757596,2.298855778803526
9,25.0,6.1976284584980235,2.650767321312764,2.338050725413619
9,25.0,6.102766798418973,2.7199771290208425,2.2436831300180424
9,25.0,6.324110671936759,2.59409858753525,2.4378837035432537
9,25.0,6.094861660079052,2.547120892006897,2.392843496045004
9,25.0,6.391304347826087,2.7389482089369155,2.333488573085061
9,25.0,6.636363636363637,2.7076663977722397,2.450953205248539
9,25.0,6.450592885375494,2.657461997169778,2.4273509432102647
9,25.0,6.2687747035573125,2.6464042642026677,2.3687895263598455
9,25.0,6.134387351778656,2.762873191209508,2.2202927630902938
9,25.0,6.098814229249012,2.6508029613136914,2.3007421970837645
9,25.0,6.2687747035573125,2.6762442955198398,2.3423776050831906
9,25.0,6.169960474308301,2.6456194434027593,2.332142096133291
9,25.0,6.205533596837944,2.6864813096626,2.309911323230947
9,25.0,6.383399209486166,2.6511232515168963,2.407809295864977
9,25.0,6.545454545454546,2.600877219923937,2.516633424797334
9,25.0,6.205533596837944,2.6526950039709583,2.339331731521549
9,25.0,6.201581027667984,2.6412165379071517,2.3480017403578715
9,25.0,6.454545454545454,2.6450129846335977,2.440269855779016
9,25.0,6.158102766798419,2.6500596522639728,2.3237600563208036
9,25.0,6.264822134387352,2.68675002091005,2.331747310181594
9,25.0,6.106719367588933,2.633862156673119,2.31854174756907
9,25.0,6.375494071146245,2.667096963922044,2.3904245542580105
9,25.0,6.525691699604743,2.6494703567830054,2.463017441541885
9,25.0,6.438735177865612,2.659558125666333,2.4209793031887332
9,25.0,6.1976284584980235,2.7031574972305648,2.292736721721768
9,25.0,6.260869565217392,2.6517938155272436,2.3609941046538614
9,25.0,6.260869565217392,2.746282534668966,2.279761636386793
9,25.0,6.320158102766799,2.5976755484181653,2.4330051944383166
9,25.0,6.221343873517786,2.5576247710713735,2.4324693535524773
9,25.0,6.252964426877471,2.6474799550568844,2.361855248397194
9,25.0,6.403162055335969,2.6549147078450703,2.411814600452178
9,25.0,6.569169960474309,2.6829964659680865,2.448445252835621
9,25.0,6.525691699604743,2.634029539991366,2.477455776606869
9,25.0,6.399209486166008,2.676542005900445,2.390849638099806
9,25.0,6.0395256916996045,2.557319722562495,2.3616623445299427
9,25.0,6.7312252964426875,2.6920592419266427,2.5004001366720705
9,25.0,6.355731225296442,2.6278704080483406,2.4185862460457854
9,25.0,6.296442687747035,2.7255038053906406,2.310194054872941
9,25.0,6.675889328063241,2.606244647778101,2.561497568447624
9,25.0,6.3438735177865615,2.7482234318149628,2.3083543515226435
9,25.0,6.2687747035573125,2.653882629455476,2.362114523822608
9,25.0,6.525691699604743,2.6960817714339846,2.42043537727488
9,25.0,6.529644268774703,2.6622114526297307,2.452714363588484
9,25.0,6.41106719367589,2.6841725291351333,2.388470608385817
9,25.0,6.1976284584980235,2.6852930552170067,2.3079896052526654
9,25.0,6.24505928853755,2.6891528519633296,2.322314733421747
9,25.0,6.391304347826087,2.6542267250494653,2.4079722683475637
9,25.0,6.462450592885376,2.583677527584784,2.5012605187329475
9,25.0,6.375494071146245,2.6932859133172666,2.3671805654282267
9,25.0,6.541501976284585,2.625041888484718,2.4919609873580373
9,25.0,6.604743083003952,2.6845587794688606,2.4602713613559617
9,25.0,6.16205533596838,2.6301720587023927,2.342833547934677
9,25.0,6.205533596837944,2.696843608235165,2.3010357656219056
9,25.0,6.241106719367589,2.6454599058132398,2.359176453838189
9,25.0,6.66798418972332,2.692796106170728,2.476230626761222
9,25.0,6.359683794466403,2.6642300259912632,2.387062578089591
9,25.0,6.169960474308301,2.6819309586761855,2.3005664833944213
9,25.0,6.2687747035573125,2.688512896342123,2.3316885375875795
9,25.0,6.08300395256917,2.586734819226809,2.3516148262879986
9,25.0,6.0355731225296445,2.6960205037053195,2.238697040409951
9,25.0,6.403162055335969,2.6522625195248084,2.4142263475800987
9,25.0,6.5059288537549405,2.5915535959213165,2.5104357725783535
9,25.0,6.181818181818182,2.6650859127859174,2.319556811343499
9,25.0,6.173913043478261,2.6767728696027393,2.3064762474204743
9,25.0,6.383399209486166,2.651854910067719,2.40714497058331
9,25.0,6.3478260869565215,2.7218456088327474,2.3321771324416747
9,25.0,6.395256916996048,2.6172808998061408,2.4434736514027735
9,25.0,6.462450592885376,2.6411411742257305,2.4468402734207837
9,25.0,6.359683794466403,2.6485778672372615,2.401169273947081
9,25.0,6.478260869565218,2.7142591169610433,2.3867510765952407
9,25.0,6.07905138339921,2.6914764930671295,2.2586306806163843
9,25.0,6.027667984189724,2.6512530898926596,2.2735166277293293
9,25.0,6.438735177865612,2.612669611079111,2.464427630099858
9,25.0,6.225296442687747,2.7003921419910366,2.3053305280683234
9,25.0,6.209486166007905,2.5982283390150336,2.3898924019749046
9,25.0,6.557312252964427,2.618258872073044,2.504455278622843
9,25.0,6.205533596837944,2.633144378208235,2.356700850965338
